Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
953,7,Directed,1632,,,1,Twitter for Android,None,es,2012-06-04
953,24,Directed,1633,,,1,Twitter for Android,rosavientos,es,2012-06-04
957,6,Directed,1634,,,1,Twitter for Android,Algo,es,2015-02-23
958,45,Directed,1635,,,2,Twitter for Android,None,es,2020-04-13
959,39,Directed,1636,,,2,Twitter for Android,None,es,2019-10-18
960,952,Directed,1637,,,2,Twitter for Android,None,es,2014-11-23
961,34,Directed,1638,,,1,Twitter Web App,None,es,2013-09-29
961,43,Directed,1639,,,1,Twitter Web App,None,es,2013-09-29
962,12,Directed,1640,,,1,Twitter Web App,Ovni,es,2014-02-26
962,277,Directed,1641,,,1,Twitter Web App,None,es,2014-02-26
963,0,Directed,1642,,,2,Twitter for Android,None,pt,2010-09-11
964,192,Directed,1643,,,1,Twitter for Android,ovni,es,2020-11-09
964,457,Directed,1644,,,1,Twitter for Android,misterio,es,2020-11-09
965,27,Directed,1645,,,1,Twitter for Android,DeFacto,pt,2012-11-11
965,285,Directed,1646,,,1,Twitter for Android,DeFacto,pt,2012-11-11
968,59,Directed,1647,,,2,Twitter for Android,None,es,2019-08-12
970,970,Directed,1648,,,1,Twitter Web App,None,es,2019-11-13
971,55,Directed,1649,,,1,Twitter for iPhone,ovnis,es,2017-11-14
972,0,Directed,1650,,,2,Twitter for Android,None,pt,2009-10-08
973,27,Directed,1651,,,2,Twitter for iPhone,DeFacto,pt,2014-03-10
975,7,Directed,1652,,,1,Twitter Web App,None,es,2010-04-03
975,105,Directed,1653,,,1,Twitter for Android,Ovni,es,2010-04-03
976,0,Directed,1654,,,2,Twitter for Android,None,pt,2011-11-24
978,898,Directed,1655,,,2,TweetDeck,InsomniaLos40,es,2015-05-22
980,980,Directed,1656,,,1,Twitter for Android,None,cs,2012-08-16
981,0,Directed,1657,,,2,Twitter for Android,None,pt,2017-06-26
