Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
1989,210,Directed,2350,,,1,Twitter for Android,None,es,2015-05-04
1990,26,Directed,2351,,,1,Twitter for Android,None,es,2016-10-26
1991,3,Directed,2352,,,1,Twitter for Android,None,es,2012-01-29
1992,1,Directed,2353,,,1,Twitter for Android,None,es,2014-07-16
1993,3,Directed,2354,,,1,Twitter for Android,None,es,2012-09-09
1994,0,Directed,2355,,,1,Twitter for Android,None,es,2021-03-17
1995,2,Directed,2356,,,1,Twitter for Android,None,es,2021-01-13
1996,9,Directed,2357,,,1,Twitter for Android,None,es,2010-06-28
1997,7,Directed,2358,,,1,Twitter Web App,None,es,2016-05-25
1998,304,Directed,2359,,,1,Twitter Web App,None,es,2012-06-15
1999,14,Directed,2360,,,1,Twitter for Android,None,es,2012-04-23
2000,23,Directed,2361,,,1,Twitter for iPhone,None,es,2013-03-24
2001,18,Directed,2362,,,1,Twitter for Android,None,es,2014-01-18
2002,11,Directed,2363,,,1,Twitter for iPhone,None,es,2010-08-11
2003,0,Directed,2364,,,1,Twitter for Android,None,es,2012-02-15
2004,44,Directed,2365,,,1,Tweetbot for iΟS,None,es,2019-02-11
2005,2,Directed,2366,,,1,Twitter for Android,None,es,2014-01-10
2006,7,Directed,2367,,,1,Twitter for Android,None,es,2017-10-01
2007,2395,Directed,2368,,,1,Twitter for Android,None,es,2021-05-24
2008,19,Directed,2369,,,1,Twitter for Android,None,es,2011-05-29
2010,23,Directed,2370,,,1,Twitter for Android,None,es,2017-09-02
2011,0,Directed,2371,,,1,Twitter Web App,None,es,2012-12-04
2012,3,Directed,2372,,,1,Twitter for Android,None,es,2020-06-23
2013,29,Directed,2373,,,1,Twitter for iPhone,None,es,2020-01-13
2014,1,Directed,2374,,,1,Twitter for Android,None,es,2012-01-18
2015,13,Directed,2375,,,1,Twitter for Android,None,es,2015-05-08
2016,6,Directed,2376,,,1,Twitter for Android,None,es,2011-01-27
2017,17,Directed,2377,,,1,Twitter for Android,None,es,2016-10-10
2018,5,Directed,2378,,,1,Twitter for Android,None,es,2008-10-26
2019,8,Directed,2379,,,1,Twitter for Android,None,es,2012-10-03
2020,11,Directed,2380,,,1,Twitter for Android,None,es,2011-11-08
2021,2,Directed,2381,,,1,Twitter for Android,None,es,2014-02-04
2022,13,Directed,2382,,,1,Twitter for Android,None,es,2013-04-22
2023,57,Directed,2383,,,1,Twitter for iPhone,None,es,2011-02-13
